bin, 0, end
bin\Code, 0, end
bin\Code\F00033, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 0, end
bin\Code\F00043, 1, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00053, 5, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00077, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 0, end
bin\Code\F00085, 2, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 0, end
bin\Code\F00093, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T2.in, score: 0, end
bin\Code\F00098, 7, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, end
bin\Code\F00099, 6, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00114, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T1.in, score: 0, end
bin\Code\F00115, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00121, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 1, qst: Data\T3\T1.in, score: 1, qst: Data\T1\T1.in, score: 0, end
